WELL,STATUS,CMODE,ORAT,WRAT,GRAT,DATE,KEYWORD,TYPE,RATE,BHP,THP,VFP_TABLE,VAPOIL_C,SURFACE_OIL_FRACTION,SURFACE_WATER_FRACTION,SURFACE_GAS_FRACTION
OP_1,OPEN,RESV,3862.069,37.22932,710620.7,2000-02-01,WCONHIST,,,,,,,,,
OP_2,OPEN,RESV,3862.069,94.14519,710620.7,2000-02-01,WCONHIST,,,,,,,,,
OP_3,OPEN,RESV,3862.069,416.8665,710620.7,2000-02-01,WCONHIST,,,,,,,,,
WI_1,OPEN,RATE,,,,2000-02-01,WCONINJH,WATER,4827.586,,,0.0,0.0,0.0,0.0,0.0
OP_1,OPEN,RESV,3833.858,50.36119,705429.9,2000-03-01,WCONHIST,,,,,,,,,
OP_2,OPEN,RESV,4000.0,136.0362,736000.0,2000-03-01,WCONHIST,,,,,,,,,
OP_3,OPEN,RESV,3949.519,351.2726,726711.5,2000-03-01,WCONHIST,,,,,,,,,
WI_1,OPEN,RATE,,,,2000-03-01,WCONINJH,WATER,5000.0,,,0.0,0.0,0.0,0.0,0.0
OP_1,OPEN,RESV,2304.022,61.591,423940.2,2000-04-01,WCONHIST,,,,,,,,,
OP_2,OPEN,RESV,4000.0,167.23,736000.0,2000-04-01,WCONHIST,,,,,,,,,
OP_3,OPEN,RESV,3732.473,253.5067,686775.1,2000-04-01,WCONHIST,,,,,,,,,
OP_1,OPEN,RESV,1664.161,109.4469,306205.6,2000-05-01,WCONHIST,,,,,,,,,
OP_2,OPEN,RESV,3536.008,167.7492,650625.5,2000-05-01,WCONHIST,,,,,,,,,
OP_3,OPEN,RESV,3436.547,192.7371,632324.6,2000-05-01,WCONHIST,,,,,,,,,
OP_1,OPEN,RESV,1737.487,225.4941,319697.6,2000-06-01,WCONHIST,,,,,,,,,
